44 33 28 92 3 0 0 0 0 0 0 0 0 0 0
47 32 22 50 5 11 12 1 6 15 0 0 0 0 0
11 31 7 28 2 30 8 8 32 34 5 6 0 0 0
19 28 8 14 2 31 6 19 25 28 9 14 0 0 0
32 5 20 19 2 25 9 16 22 22 8 19 4 0 0
24 13 3 12 2 22 8 21 17 21 10 26 3 20 0
23 15 13 2 2 18 11 20 14 19 11 21 4 24 5
21 14 17 3 2 17 16 19 11 20 12 20 5 15 11
22 13 18 6 2 16 14 17 15 17 11 19 4 14 10
18 14 20 11 2 15 12 19 16 16 9 17 6 15 11
17 13 18 13 2 12 14 20 17 15 11 18 4 16 12
18 14 16 12 2 11 15 19 15 14 14 20 5 14 13
17 16 19 11 2 15 12 20 12 15 13 17 4 12 16
15 15 18 10 2 16 15 19 14 17 14 15 3 13 17
16 18 19 9 2 17 14 18 15 15 13 16 5 10 16
15 17 20 10 2 18 13 19 16 14 14 15 6 9 17
